history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;IMOEX;2020-01-09;Индекс МосБиржи;Индекс МосБиржи;3118,08;3105,21;3124,6;3094,85;58694873429,2;0;0;2;12071691067400;RUB;3871514068,410000
SNDX;IMOEX;2020-01-08;Индекс МосБиржи;Индекс МосБиржи;3110,06;3076,63;3112,01;3071,88;53007480525,4;0;0;2;12040644588500;RUB;3871514068,410000
SNDX;IMOEX;2020-01-06;Индекс МосБиржи;Индекс МосБиржи;3078,87;3075,55;3079,42;3059,47;39130289766,8;0;0;2;11919907235700;RUB;3871514068,410000
SNDX;IMOEX;2020-01-03;Индекс МосБиржи;Индекс МосБиржи;3076,37;3059,2;3086,09;3057,36;44508670839;0;0;2;11910192239900;RUB;3871514068,410000
SNDX;IMOEX;2019-12-30;Индекс МосБиржи;Индекс МосБиржи;3045,87;3051,41;3060,2;3042,34;37177853871,2;0;0;2;11792145283100;RUB;3871514068,410000
SNDX;IMOEX;2019-12-27;Индекс МосБиржи;Индекс МосБиржи;3050,47;3029,12;3054,03;3029,12;37019368139,8;0;0;2;11809947494800;RUB;3871514068,410000
SNDX;IMOEX;2019-12-26;Индекс МосБиржи;Индекс МосБиржи;3031,67;3025,58;3034,63;3021,62;23000825028,1;0;0;2;11737141461200;RUB;3871514068,410000
SNDX;IMOEX;2019-12-25;Индекс МосБиржи;Индекс МосБиржи;3030,84;3032,41;3036,81;3024,89;18412033286,1;0;0;2;11733938775500;RUB;3871514068,410000
SNDX;IMOEX;2019-12-24;Индекс МосБиржи;Индекс МосБиржи;3030,59;3035,86;3039,92;3025,92;33010395704,1;0;0;2;11732957078600;RUB;3871514068,410000
SNDX;IMOEX;2019-12-23;Индекс МосБиржи;Индекс МосБиржи;3033,81;3009,89;3033,81;3009,07;45691999313,6;0;0;2;11745436421000;RUB;3871514068,410000
SNDX;IMOEX;2019-12-20;Индекс МосБиржи;Индекс МосБиржи;3015,93;3015,64;3021,05;3004,21;63707969117,2;0;0;2;11676205646100;RUB;3871514068,410000
SNDX;IMOEX;2019-12-19;Индекс МосБиржи;Индекс МосБиржи;3008,39;3012,29;3027,88;2998,05;67070380927,8;0;0;2;11816343249700;RUB;3927791500,120000
SNDX;IMOEX;2019-12-18;Индекс МосБиржи;Индекс МосБиржи;3023,92;3011,37;3023,92;3004,27;60333709715,5;0;0;2;11877340262500;RUB;3927791500,120000
SNDX;IMOEX;2019-12-17;Индекс МосБиржи;Индекс МосБиржи;3013,29;3012,49;3019,95;3005,61;52427814010,7;0;0;2;11835593661800;RUB;3927791500,120000
SNDX;IMOEX;2019-12-16;Индекс МосБиржи;Индекс МосБиржи;3006,16;3001,42;3012,21;2994,44;48141089732,4;0;0;2;11807580826300;RUB;3927791500,120000
SNDX;IMOEX;2019-12-13;Индекс МосБиржи;Индекс МосБиржи;2996,63;2990,92;3000,1;2984,92;58151037394,6;0;0;2;11770139278000;RUB;3927791500,120000
SNDX;IMOEX;2019-12-12;Индекс МосБиржи;Индекс МосБиржи;2982,86;2966,24;2996,82;2965,1;76267420499,6;0;0;2;11716056153300;RUB;3927791500,120000
SNDX;IMOEX;2019-12-11;Индекс МосБиржи;Индекс МосБиржи;2954,4;2932,43;2959,12;2932,43;48852896932,2;0;0;2;11604283597400;RUB;3927791500,120000
SNDX;IMOEX;2019-12-10;Индекс МосБиржи;Индекс МосБиржи;2932,4;2943,03;2948,94;2920,93;43930405456,3;0;0;2;11517862125000;RUB;3927791500,120000
SNDX;IMOEX;2019-12-09;Индекс МосБиржи;Индекс МосБиржи;2945,03;2932,08;2947,68;2926,1;41565182999,1;0;0;2;11567450843500;RUB;3927791500,120000
SNDX;IMOEX;2019-12-06;Индекс МосБиржи;Индекс МосБиржи;2928,76;2900,78;2928,76;2897,56;43574389618,4;0;0;2;11503546113500;RUB;3927791500,120000
SNDX;IMOEX;2019-12-05;Индекс МосБиржи;Индекс МосБиржи;2899,29;2903,5;2909,59;2882,8;44862391519,9;0;0;2;11387824434800;RUB;3927791500,120000
SNDX;IMOEX;2019-12-04;Индекс МосБиржи;Индекс МосБиржи;2900,66;2887,39;2909,11;2875,5;46424481795,2;0;0;2;11393204536200;RUB;3927791500,120000
SNDX;IMOEX;2019-12-03;Индекс МосБиржи;Индекс МосБиржи;2883,48;2917,46;2922,81;2882,65;56001063840,4;0;0;2;11325703891100;RUB;3927791500,120000
SNDX;IMOEX;2019-12-02;Индекс МосБиржи;Индекс МосБиржи;2921,18;2937,69;2958,84;2920,33;56256810739,7;0;0;2;11473775788300;RUB;3927791500,120000
SNDX;IMOEX;2019-11-29;Индекс МосБиржи;Индекс МосБиржи;2935,37;2925,76;2936,24;2911,56;44118054573,2;0;0;2;11529510013100;RUB;3927791500,120000
SNDX;IMOEX;2019-11-28;Индекс МосБиржи;Индекс МосБиржи;2927,57;2926,3;2931,48;2911,8;32904617964,9;0;0;2;11498868045000;RUB;3927791500,120000


