history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;IMOEX;2021-01-12;Индекс МосБиржи;Индекс МосБиржи;3471,65;3494,6;3520,66;3451,87;104216481364,4;0;0;2;17633297804465,598;RUB;5079230865,822700
SNDX;IMOEX;2021-01-11;Индекс МосБиржи;Индекс МосБиржи;3482,48;3455,67;3516,9;3436,66;143292474381,8;0;0;2;17688316738936,164;RUB;5079230865,822700
SNDX;IMOEX;2021-01-08;Индекс МосБиржи;Индекс МосБиржи;3454,82;3390,23;3474,66;3390,23;132105644616,85;0;0;2;17547804162517,74;RUB;5079230865,822700
SNDX;IMOEX;2021-01-06;Индекс МосБиржи;Индекс МосБиржи;3371,03;3373,37;3380,63;3344,43;71458087084,95;0;0;2;17122246076319,117;RUB;5079230865,822700
SNDX;IMOEX;2021-01-05;Индекс МосБиржи;Индекс МосБиржи;3359,15;3327,94;3365,32;3301,88;71669719442,85;0;0;2;17061893215819,604;RUB;5079230865,822700
SNDX;IMOEX;2021-01-04;Индекс МосБиржи;Индекс МосБиржи;3350,51;3306,12;3350,81;3304,17;66875027248,1;0;0;2;17018019126303,139;RUB;5079230865,822700
SNDX;IMOEX;2020-12-30;Индекс МосБиржи;Индекс МосБиржи;3289,02;3276,04;3294,62;3267,39;67248342457,8;0;0;2;16705672838292,13;RUB;5079230865,822700
SNDX;IMOEX;2020-12-29;Индекс МосБиржи;Индекс МосБиржи;3274,67;3269,71;3282,23;3264,33;62071933973,8;0;0;2;16632815890405,033;RUB;5079230865,822700
SNDX;IMOEX;2020-12-28;Индекс МосБиржи;Индекс МосБиржи;3258,95;3249,41;3267,61;3249,41;52140644341,35;0;0;2;16552950763593,443;RUB;5079230865,822700
SNDX;IMOEX;2020-12-25;Индекс МосБиржи;Индекс МосБиржи;3246,35;3236,38;3248,63;3228,74;23654550156,85;0;0;2;16488959267869,49;RUB;5079230865,822700
SNDX;IMOEX;2020-12-24;Индекс МосБиржи;Индекс МосБиржи;3236,88;3253,73;3264,6;3230,62;50764614102,85;0;0;2;16440882809305,248;RUB;5079230865,822700
SNDX;IMOEX;2020-12-23;Индекс МосБиржи;Индекс МосБиржи;3252,1;3224,02;3255,4;3218,19;65478211681;0;0;2;16518158528904,373;RUB;5079230865,822700
SNDX;IMOEX;2020-12-22;Индекс МосБиржи;Индекс МосБиржи;3236,46;3179,69;3249,19;3175,51;98871608126,9;0;0;2;16438748822592,262;RUB;5079230865,822700
SNDX;IMOEX;2020-12-21;Индекс МосБиржи;Индекс МосБиржи;3186,38;3246,9;3246,9;3170,03;135820501896,45;0;0;2;16184339652133,86;RUB;5079230865,822700
SNDX;IMOEX;2020-12-18;Индекс МосБиржи;Индекс МосБиржи;3273,75;3281,59;3283,32;3245,25;125970276758,55;0;0;2;16628110245848,285;RUB;5079230865,822700
SNDX;IMOEX;2020-12-17;Индекс МосБиржи;Индекс МосБиржи;3282,67;3277,67;3318,39;3274,45;138325093736,4;0;0;2;15788673394840,352;RUB;4809707787,415300
SNDX;IMOEX;2020-12-16;Индекс МосБиржи;Индекс МосБиржи;3269,95;3259,89;3275,68;3242,7;94422806431,25;0;0;2;15727493691136,979;RUB;4809707787,415300
SNDX;IMOEX;2020-12-15;Индекс МосБиржи;Индекс МосБиржи;3248,11;3252,68;3284,84;3237,87;92705554026,6;0;0;2;15622482644136,672;RUB;4809707787,415300
SNDX;IMOEX;2020-12-14;Индекс МосБиржи;Индекс МосБиржи;3254,83;3293;3314,2;3249,36;124668491097,3;0;0;2;15654776725400,525;RUB;4809707787,415300
SNDX;IMOEX;2020-12-11;Индекс МосБиржи;Индекс МосБиржи;3276,58;3257,47;3278,24;3248,11;108292271648,55;0;0;2;15759412616641,684;RUB;4809707787,415300
SNDX;IMOEX;2020-12-10;Индекс МосБиржи;Индекс МосБиржи;3258,31;3194,03;3258,31;3189,04;103055345054,75;0;0;2;15671530544774,752;RUB;4809707787,415300
SNDX;IMOEX;2020-12-09;Индекс МосБиржи;Индекс МосБиржи;3211,66;3184,24;3226,48;3182,54;96153321470,95;0;0;2;15447130182429,713;RUB;4809707787,415300
SNDX;IMOEX;2020-12-08;Индекс МосБиржи;Индекс МосБиржи;3179,61;3184,93;3198,1;3150,84;93400466060,05;0;0;2;15293014774134,355;RUB;4809707787,415300
SNDX;IMOEX;2020-12-07;Индекс МосБиржи;Индекс МосБиржи;3195,08;3179,14;3208,53;3172,29;87818352454,45;0;0;2;15367389959444,236;RUB;4809707787,415300
SNDX;IMOEX;2020-12-04;Индекс МосБиржи;Индекс МосБиржи;3184,72;3171,44;3200,23;3171,44;94492237722,65;0;0;2;15317581497964,482;RUB;4809707787,415300
SNDX;IMOEX;2020-12-03;Индекс МосБиржи;Индекс МосБиржи;3162,67;3185,78;3192,98;3141,4;95183766034,25;0;0;2;15211520931926,678;RUB;4809707787,415300
SNDX;IMOEX;2020-12-02;Индекс МосБиржи;Индекс МосБиржи;3189,61;3150,66;3189,61;3139,92;94931203596,5;0;0;2;15341070214498,816;RUB;4809707787,415300
SNDX;IMOEX;2020-12-01;Индекс МосБиржи;Индекс МосБиржи;3147,79;3113,06;3159,03;3113,06;108250777613,4;0;0;2;15139967065408,986;RUB;4809707787,415300
SNDX;IMOEX;2020-11-30;Индекс МосБиржи;Индекс МосБиржи;3107,58;3130,88;3134,79;3093,77;171173455598,35;0;0;2;14946548520857,418;RUB;4809707787,415300
SNDX;IMOEX;2020-11-27;Индекс МосБиржи;Индекс МосБиржи;3142,68;3132,55;3150,78;3112,44;91361256012,6;0;0;2;15115371238985,213;RUB;4809707787,415300
SNDX;IMOEX;2020-11-26;Индекс МосБиржи;Индекс МосБиржи;3138,62;3141,43;3149,9;3119,46;86304340769,8;0;0;2;15095830689942,246;RUB;4809707787,415300
SNDX;IMOEX;2020-11-25;Индекс МосБиржи;Индекс МосБиржи;3134,52;3111,75;3134,71;3089,16;130512774776,55;0;0;2;15076116140372,246;RUB;4809707787,415300
SNDX;IMOEX;2020-11-24;Индекс МосБиржи;Индекс МосБиржи;3095,84;3071,8;3098,83;3053,16;99168946827,05;0;0;2;14890097020956,656;RUB;4809707787,415300
SNDX;IMOEX;2020-11-23;Индекс МосБиржи;Индекс МосБиржи;3047,06;3066,64;3094,06;3042,61;88626521669,9;0;0;2;14655488609623,094;RUB;4809707787,415300
SNDX;IMOEX;2020-11-20;Индекс МосБиржи;Индекс МосБиржи;3051,04;3050,81;3060,91;3035,56;57925104990,4;0;0;2;14674599912213,895;RUB;4809707787,415300
SNDX;IMOEX;2020-11-19;Индекс МосБиржи;Индекс МосБиржи;3046,49;3067,06;3071,25;3040,66;80639323609,7;0;0;2;14652748966342,686;RUB;4809707787,415300
SNDX;IMOEX;2020-11-18;Индекс МосБиржи;Индекс МосБиржи;3080,68;3046,02;3086,77;3035,57;86678712181,65;0;0;2;14817178731020,752;RUB;4809707787,415300
SNDX;IMOEX;2020-11-17;Индекс МосБиржи;Индекс МосБиржи;3052,22;3081,05;3087,19;3027,76;97624569190,3;0;0;2;14680281473824,783;RUB;4809707787,415300
SNDX;IMOEX;2020-11-16;Индекс МосБиржи;Индекс МосБиржи;3079,74;3054,35;3081,28;3046,77;113029902298,95;0;0;2;14812647230823,322;RUB;4809707787,415300
SNDX;IMOEX;2020-11-13;Индекс МосБиржи;Индекс МосБиржи;3025,22;3007,16;3027,45;2995,17;94141286376,05;0;0;2;14550400178003,95;RUB;4809707787,415300
SNDX;IMOEX;2020-11-12;Индекс МосБиржи;Индекс МосБиржи;3025,83;2997,79;3028,52;2988,03;111841039072,1;0;0;2;14553375998523,9;RUB;4809707787,415300
SNDX;IMOEX;2020-11-11;Индекс МосБиржи;Индекс МосБиржи;3015,03;3004,63;3031,69;3004,2;156869536674,85;0;0;2;14501405482080,545;RUB;4809707787,415300
SNDX;IMOEX;2020-11-10;Индекс МосБиржи;Индекс МосБиржи;2998,61;2965,92;3013,57;2943,43;150181333966,75;0;0;2;14422459844777,184;RUB;4809707787,415300
SNDX;IMOEX;2020-11-09;Индекс МосБиржи;Индекс МосБиржи;2987,75;2919,08;2988,88;2910,42;186353431932,75;0;0;2;14370213308631,504;RUB;4809707787,415300
SNDX;IMOEX;2020-11-06;Индекс МосБиржи;Индекс МосБиржи;2895,62;2845,74;2896,07;2832,98;80259567503,35;0;0;2;13927101352108,924;RUB;4809707787,415300
SNDX;IMOEX;2020-11-05;Индекс МосБиржи;Индекс МосБиржи;2861,39;2824,45;2869,91;2812,67;105069609556,45;0;0;2;13762459950320,277;RUB;4809707787,415300
SNDX;IMOEX;2020-11-03;Индекс МосБиржи;Индекс МосБиржи;2786,42;2753,97;2791,77;2750,26;78312915395,25;0;0;2;13401879845265,438;RUB;4809707787,415300
SNDX;IMOEX;2020-11-02;Индекс МосБиржи;Индекс МосБиржи;2737,54;2681,19;2743,98;2658,49;72875417363,5;0;0;2;13166789830115,883;RUB;4809707787,415300
SNDX;IMOEX;2020-10-30;Индекс МосБиржи;Индекс МосБиржи;2690,59;2698,94;2706,34;2664,44;68437052454,5;0;0;2;12940964452238,307;RUB;4809707787,415300
SNDX;IMOEX;2020-10-29;Индекс МосБиржи;Индекс МосБиржи;2709,04;2704,5;2728,97;2682,68;74274727007;0;0;2;13029709306520,393;RUB;4809707787,415300
SNDX;IMOEX;2020-10-28;Индекс МосБиржи;Индекс МосБиржи;2693,46;2758,84;2758,84;2680,83;91471007602,15;0;0;2;12954771829289,174;RUB;4809707787,415300
SNDX;IMOEX;2020-10-27;Индекс МосБиржи;Индекс МосБиржи;2763,03;2784,13;2790,19;2758;61439709363,35;0;0;2;13289351131337,639;RUB;4809707787,415300
SNDX;IMOEX;2020-10-26;Индекс МосБиржи;Индекс МосБиржи;2785,59;2812,48;2819,05;2785,59;52620022209;0;0;2;13397887836499,066;RUB;4809707787,415300
SNDX;IMOEX;2020-10-23;Индекс МосБиржи;Индекс МосБиржи;2816,7;2807,3;2826,53;2799,63;58028372135,3;0;0;2;13547527704718,865;RUB;4809707787,415300
SNDX;IMOEX;2020-10-22;Индекс МосБиржи;Индекс МосБиржи;2803,17;2784,18;2814,12;2783,37;61193148610,4;0;0;2;13482405171041,117;RUB;4809707787,415300
SNDX;IMOEX;2020-10-21;Индекс МосБиржи;Индекс МосБиржи;2786,23;2811,87;2816,9;2782,36;65964265507,3;0;0;2;13400971733707,781;RUB;4809707787,415300
SNDX;IMOEX;2020-10-20;Индекс МосБиржи;Индекс МосБиржи;2803,06;2785,99;2817,73;2774,16;70200100871,6;0;0;2;13481902181373,41;RUB;4809707787,415300
SNDX;IMOEX;2020-10-19;Индекс МосБиржи;Индекс МосБиржи;2794,27;2797,65;2809,42;2787,5;48808418102,15;0;0;2;13439610301348,738;RUB;4809707787,415300
SNDX;IMOEX;2020-10-16;Индекс МосБиржи;Индекс МосБиржи;2799,54;2819,04;2819,04;2785,85;71062651943,55;0;0;2;13464960048324,197;RUB;4809707787,415300
SNDX;IMOEX;2020-10-15;Индекс МосБиржи;Индекс МосБиржи;2817,29;2849,24;2850,11;2803,9;65315267334,85;0;0;2;13550357615696,22;RUB;4809707787,415300
SNDX;IMOEX;2020-10-14;Индекс МосБиржи;Индекс МосБиржи;2856,08;2829,88;2857,47;2824,12;54266740541,85;0;0;2;13736904655277,525;RUB;4809707787,415300
SNDX;IMOEX;2020-10-13;Индекс МосБиржи;Индекс МосБиржи;2829,23;2846,04;2859,52;2822,97;56828024719,1;0;0;2;13607767077509,918;RUB;4809707787,415300
SNDX;IMOEX;2020-10-12;Индекс МосБиржи;Индекс МосБиржи;2846,14;2834,33;2862,36;2827,52;58718697811,45;0;0;2;13689118306976,201;RUB;4809707787,415300
SNDX;IMOEX;2020-10-09;Индекс МосБиржи;Индекс МосБиржи;2834,09;2842,59;2842,59;2811,05;67564085234,3;0;0;2;13631162034000;RUB;4809707787,420000
SNDX;IMOEX;2020-10-08;Индекс МосБиржи;Индекс МосБиржи;2846,39;2850,65;2859,87;2837,05;55803931185,4;0;0;2;13690283258800;RUB;4809707787,420000
SNDX;IMOEX;2020-10-07;Индекс МосБиржи;Индекс МосБиржи;2842,58;2883,58;2888,2;2838,45;67235083005,8;0;0;2;13671969514900;RUB;4809707787,420000
SNDX;IMOEX;2020-10-06;Индекс МосБиржи;Индекс МосБиржи;2892,99;2885,38;2906,65;2883,69;73021330700,7;0;0;2;13914414418200;RUB;4809707787,420000
SNDX;IMOEX;2020-10-05;Индекс МосБиржи;Индекс МосБиржи;2881,98;2860,53;2882,94;2845,63;63509160152,4;0;0;2;13861472527900;RUB;4809707787,420000
SNDX;IMOEX;2020-10-02;Индекс МосБиржи;Индекс МосБиржи;2852,42;2840,72;2859,01;2824,69;78844415007,9;0;0;2;13719301604300;RUB;4809707787,420000
SNDX;IMOEX;2020-10-01;Индекс МосБиржи;Индекс МосБиржи;2889,8;2911,08;2919,25;2882,81;74033823737,9;0;0;2;13899096324200;RUB;4809707787,420000
SNDX;IMOEX;2020-09-30;Индекс МосБиржи;Индекс МосБиржи;2905,81;2908,55;2920,03;2893,8;66808053460,3;0;0;2;13976089270500;RUB;4809707787,420000
SNDX;IMOEX;2020-09-29;Индекс МосБиржи;Индекс МосБиржи;2910,12;2935,77;2947,75;2889,22;80159930228,7;0;0;2;13996817556800;RUB;4809707787,420000
SNDX;IMOEX;2020-09-28;Индекс МосБиржи;Индекс МосБиржи;2927,17;2909,62;2938,94;2909,62;69770125370,4;0;0;2;14078810348000;RUB;4809707787,420000
SNDX;IMOEX;2020-09-25;Индекс МосБиржи;Индекс МосБиржи;2896,83;2912,83;2912,83;2870,16;75662859146,4;0;0;2;13932922146500;RUB;4809707787,420000
SNDX;IMOEX;2020-09-24;Индекс МосБиржи;Индекс МосБиржи;2912,76;2905,55;2920,46;2880,39;87868199396,4;0;0;2;14009504082000;RUB;4809707787,420000
SNDX;IMOEX;2020-09-23;Индекс МосБиржи;Индекс МосБиржи;2916,39;2933,33;2968,55;2916,27;144057907966;0;0;2;14026996372700;RUB;4809707787,420000
SNDX;IMOEX;2020-09-22;Индекс МосБиржи;Индекс МосБиржи;2884,66;2874;2907,98;2868,38;72694032936,9;0;0;2;13874359877200;RUB;4809707787,420000
SNDX;IMOEX;2020-09-21;Индекс МосБиржи;Индекс МосБиржи;2863,67;2946,18;2946,18;2857,78;84915278078,2;0;0;2;13773398356900;RUB;4809707787,420000
SNDX;IMOEX;2020-09-18;Индекс МосБиржи;Индекс МосБиржи;2951,79;2976,1;2977,13;2944,22;87835262045,4;0;0;2;14197259684100;RUB;4809707787,420000


