history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;IMOEX;2016-04-01;Индекс МосБиржи;Индекс МосБиржи;1856,77;1860,53;1861,49;1833,61;41665690395;;;2;8721248682735,89;RUB;4697009728,026300
SNDX;IMOEX;2016-03-31;Индекс МосБиржи;Индекс МосБиржи;1871,15;1865,1;1876,55;1851,35;45584903988;;;2;8788788420507,34;RUB;4697009728,026300
SNDX;IMOEX;2016-03-30;Индекс МосБиржи;Индекс МосБиржи;1868,1;1853,35;1876,32;1847,78;33986198968;;;2;8774482922869,89;RUB;4697009728,026300
SNDX;IMOEX;2016-03-29;Индекс МосБиржи;Индекс МосБиржи;1845,2;1849,11;1850,93;1825,99;31387821379;;;2;8666903145726,37;RUB;4697009728,026300
SNDX;IMOEX;2016-03-28;Индекс МосБиржи;Индекс МосБиржи;1849,31;1871,93;1879,47;1844,73;18025672622;;;2;8686232001170,03;RUB;4697009728,026300
SNDX;IMOEX;2016-03-25;Индекс МосБиржи;Индекс МосБиржи;1866,23;1869,6;1879,79;1865,37;10495346205;;;2;8765680813709,78;RUB;4697009728,026300
SNDX;IMOEX;2016-03-24;Индекс МосБиржи;Индекс МосБиржи;1866,67;1872,88;1875,27;1857,27;31754146564;;;2;8767756421376,05;RUB;4697009728,026300
SNDX;IMOEX;2016-03-23;Индекс МосБиржи;Индекс МосБиржи;1879,89;1900,09;1906,38;1869,32;37273500027;;;2;8829844306579,81;RUB;4697009728,026300
SNDX;IMOEX;2016-03-22;Индекс МосБиржи;Индекс МосБиржи;1903,47;1905,76;1916,27;1888,59;45321565756;;;2;8940605639223,16;RUB;4697009728,026300
SNDX;IMOEX;2016-03-21;Индекс МосБиржи;Индекс МосБиржи;1904,5;1905,96;1906,34;1886,76;42865443241;;;2;8945454172113,73;RUB;4697009728,026300
SNDX;IMOEX;2016-03-18;Индекс МосБиржи;Индекс МосБиржи;1914,02;1892,81;1923,5;1885,15;60565280404;;;2;8990176444871,66;RUB;4697009728,026300
SNDX;IMOEX;2016-03-17;Индекс МосБиржи;Индекс МосБиржи;1890,79;1876,61;1900,12;1874,39;48983666812;;;2;8881072193569,86;RUB;4697009728,026300
SNDX;IMOEX;2016-03-16;Индекс МосБиржи;Индекс МосБиржи;1871,2;1858,01;1871,2;1852,92;29604448507;;;2;8789044642327,3;RUB;4697009728,026300
SNDX;IMOEX;2016-03-15;Индекс МосБиржи;Индекс МосБиржи;1855,06;1871,79;1879;1851,49;53967177166;;;2;8699745049197,91;RUB;4689729104,098600
SNDX;IMOEX;2016-03-14;Индекс МосБиржи;Индекс МосБиржи;1865,31;1877,23;1880,41;1857,19;29994346619;;;2;8747793748059,91;RUB;4689729104,098600
SNDX;IMOEX;2016-03-11;Индекс МосБиржи;Индекс МосБиржи;1876,54;1886,85;1888,77;1868,22;32491751021;;;2;8800484528875,71;RUB;4689729104,098600
SNDX;IMOEX;2016-03-10;Индекс МосБиржи;Индекс МосБиржи;1884,63;1885,97;1896,06;1875,62;36327060323;;;2;8838407641602,97;RUB;4689729104,098600
SNDX;IMOEX;2016-03-09;Индекс МосБиржи;Индекс МосБиржи;1883;1899,19;1906,99;1875,51;35945669833;;;2;8830743903434,68;RUB;4689729104,098600
SNDX;IMOEX;2016-03-07;Индекс МосБиржи;Индекс МосБиржи;1909,57;1883,38;1909,57;1883,38;29139566559;;;2;8955362730733,7;RUB;4689729104,098600
SNDX;IMOEX;2016-03-04;Индекс МосБиржи;Индекс МосБиржи;1878,29;1863,15;1878,29;1853,81;32995033341;;;2;8808692261001,24;RUB;4689729104,098600
SNDX;IMOEX;2016-03-03;Индекс МосБиржи;Индекс МосБиржи;1858,69;1836,07;1863,95;1836,07;35548516895;;;2;8716772176216,99;RUB;4689729104,098600
SNDX;IMOEX;2016-03-02;Индекс МосБиржи;Индекс МосБиржи;1832,84;1853,32;1856,08;1826,41;31781946857;;;2;8595527651581,95;RUB;4689729104,098600
SNDX;IMOEX;2016-03-01;Индекс МосБиржи;Индекс МосБиржи;1844,17;1841,43;1851,88;1838,41;34696163781;;;2;8648662826848,22;RUB;4689729104,098600
SNDX;IMOEX;2016-02-29;Индекс МосБиржи;Индекс МосБиржи;1840,17;1811,53;1841,56;1798,51;37246813480;;;2;8629888018618,01;RUB;4689729104,098600
SNDX;IMOEX;2016-02-26;Индекс МосБиржи;Индекс МосБиржи;1816,73;1815,99;1831,7;1811,66;42036927929;;;2;8519970559718,49;RUB;4689729104,098600
SNDX;IMOEX;2016-02-25;Индекс МосБиржи;Индекс МосБиржи;1803,89;1802,37;1819,19;1777,7;36117737702;;;2;8459770639290,38;RUB;4689729104,098600
SNDX;IMOEX;2016-02-24;Индекс МосБиржи;Индекс МосБиржи;1797,27;1811,08;1812,94;1784,54;31529049244;;;2;8428731820880,46;RUB;4689729104,098600
SNDX;IMOEX;2016-02-22;Индекс МосБиржи;Индекс МосБиржи;1822,38;1790,46;1825;1790,46;20518229824;;;2;8546446361884,22;RUB;4689729104,098600
SNDX;IMOEX;2016-02-20;Индекс МосБиржи;Индекс МосБиржи;1790,15;1793,68;1798,77;1786,92;5664688455;;;2;8395329269305,82;RUB;4689729104,098600
SNDX;IMOEX;2016-02-19;Индекс МосБиржи;Индекс МосБиржи;1793,37;1805,82;1805,82;1778,96;39618767600;;;2;8410440500487,69;RUB;4689729104,098600
SNDX;IMOEX;2016-02-18;Индекс МосБиржи;Индекс МосБиржи;1807,21;1770,3;1807,55;1770,3;41792675530;;;2;8475321928101,4;RUB;4689729104,098600
SNDX;IMOEX;2016-02-17;Индекс МосБиржи;Индекс МосБиржи;1770,31;1753,86;1776,93;1750,04;34413040963;;;2;8302283025302,37;RUB;4689729104,098600
SNDX;IMOEX;2016-02-16;Индекс МосБиржи;Индекс МосБиржи;1753,86;1738,89;1758,19;1738,89;34532761465;;;2;8225137564622,7;RUB;4689729104,098600
SNDX;IMOEX;2016-02-15;Индекс МосБиржи;Индекс МосБиржи;1738,54;1726,08;1746,43;1726,08;24247759999;;;2;8153258999276,59;RUB;4689729104,098600
SNDX;IMOEX;2016-02-12;Индекс МосБиржи;Индекс МосБиржи;1726,04;1711,6;1733,67;1711,6;29057999447;;;2;8094647359553,27;RUB;4689729104,098600
SNDX;IMOEX;2016-02-11;Индекс МосБиржи;Индекс МосБиржи;1711,58;1729,42;1729,42;1688,06;39462082110;;;2;8026849839972,47;RUB;4689729104,098600
SNDX;IMOEX;2016-02-10;Индекс МосБиржи;Индекс МосБиржи;1730,83;1722,5;1740,72;1710,21;32150971589;;;2;8117137991709,46;RUB;4689729104,098600
SNDX;IMOEX;2016-02-09;Индекс МосБиржи;Индекс МосБиржи;1723,36;1744,17;1752,95;1715;37373681578;;;2;8082082935925,06;RUB;4689729104,098600
SNDX;IMOEX;2016-02-08;Индекс МосБиржи;Индекс МосБиржи;1744,27;1780,26;1784,56;1737,02;33814129704;;;2;8180159743164;RUB;4689729104,098600
SNDX;IMOEX;2016-02-05;Индекс МосБиржи;Индекс МосБиржи;1780,59;1786,7;1796,48;1772,26;28320335549;;;2;8350484903317,47;RUB;4689729104,098600
SNDX;IMOEX;2016-02-04;Индекс МосБиржи;Индекс МосБиржи;1787,93;1745,21;1792,48;1745,21;44900362749;;;2;8384930604784,97;RUB;4689729104,098600
SNDX;IMOEX;2016-02-03;Индекс МосБиржи;Индекс МосБиржи;1746,35;1757,9;1766,28;1744,73;31399278725;;;2;8189891600651,24;RUB;4689729104,098600
SNDX;IMOEX;2016-02-02;Индекс МосБиржи;Индекс МосБиржи;1758,26;1771,37;1785,75;1749,87;38671518377;;;2;8245775034238,85;RUB;4689729104,098600
SNDX;IMOEX;2016-02-01;Индекс МосБиржи;Индекс МосБиржи;1773,21;1785,01;1785,08;1760,22;31043356045;;;2;8315854305582,34;RUB;4689729104,098600
SNDX;IMOEX;2016-01-29;Индекс МосБиржи;Индекс МосБиржи;1784,92;1772,01;1788,29;1758,6;51457275614;;;2;8370803644432,81;RUB;4689729104,098600
SNDX;IMOEX;2016-01-28;Индекс МосБиржи;Индекс МосБиржи;1771,93;1747,63;1771,93;1739,8;49890474263;;;2;8309881375880,34;RUB;4689729104,098600
SNDX;IMOEX;2016-01-27;Индекс МосБиржи;Индекс МосБиржи;1747,57;1705,1;1747,57;1705,1;37416392162;;;2;8195618736355,51;RUB;4689729104,098600
SNDX;IMOEX;2016-01-26;Индекс МосБиржи;Индекс МосБиржи;1705,01;1716,86;1719,09;1695,66;34002423384;;;2;7996026451250,25;RUB;4689729104,098600
SNDX;IMOEX;2016-01-25;Индекс МосБиржи;Индекс МосБиржи;1716,56;1718,25;1726,96;1700,35;34894234976;;;2;8050204153420,46;RUB;4689729104,098600
SNDX;IMOEX;2016-01-22;Индекс МосБиржи;Индекс МосБиржи;1717,98;1683,75;1730,24;1682,89;60488647098;;;2;8056861861103,85;RUB;4689729104,098600
SNDX;IMOEX;2016-01-21;Индекс МосБиржи;Индекс МосБиржи;1677,19;1630,57;1684,08;1630,17;43326301552;;;2;7865575606828,17;RUB;4689729104,098600
SNDX;IMOEX;2016-01-20;Индекс МосБиржи;Индекс МосБиржи;1630,39;1641,62;1641,62;1601,64;39821132337;;;2;7646079629528,68;RUB;4689729104,098600
SNDX;IMOEX;2016-01-19;Индекс МосБиржи;Индекс МосБиржи;1645,56;1622,53;1675,01;1622,53;37157904981;;;2;7717208323298,69;RUB;4689729104,098600
SNDX;IMOEX;2016-01-18;Индекс МосБиржи;Индекс МосБиржи;1622,43;1607,88;1631,58;1583,02;32366912468;;;2;7608746291116,44;RUB;4689729104,098600
SNDX;IMOEX;2016-01-15;Индекс МосБиржи;Индекс МосБиржи;1608,36;1680,81;1686,85;1597,62;50283185458;;;2;7542750951116,24;RUB;4689729104,098600
SNDX;IMOEX;2016-01-14;Индекс МосБиржи;Индекс МосБиржи;1680,77;1684,77;1685,63;1658,8;31609765726;;;2;7882334520349,74;RUB;4689729104,098600
SNDX;IMOEX;2016-01-13;Индекс МосБиржи;Индекс МосБиржи;1684,78;1692,48;1709,08;1682,3;27040723765;;;2;7901184095680,74;RUB;4689729104,098600
SNDX;IMOEX;2016-01-12;Индекс МосБиржи;Индекс МосБиржи;1690,3;1682,72;1705,23;1660,15;32959612040;;;2;7935607963409,06;RUB;4689729104,098600
SNDX;IMOEX;2016-01-11;Индекс МосБиржи;Индекс МосБиржи;1682,54;1748,04;1748,06;1681,58;31299887238;;;2;7890662686243,83;RUB;4689729104,098600
SNDX;IMOEX;2016-01-06;Индекс МосБиржи;Индекс МосБиржи;1748,57;1753,75;1758,76;1738,84;15863769598;;;2;8200301507682,01;RUB;4689729104,098600
SNDX;IMOEX;2016-01-05;Индекс МосБиржи;Индекс МосБиржи;1754,13;1734,55;1754,33;1731,63;18096848155;;;2;8226383636099,63;RUB;4689729104,098600
SNDX;IMOEX;2016-01-04;Индекс МосБиржи;Индекс МосБиржи;1734,56;1761,42;1762,78;1731,4;15184059638;;;2;8134597776801,44;RUB;4689729104,098600
SNDX;IMOEX;2015-12-30;Индекс МосБиржи;Индекс МосБиржи;1761,36;1763,71;1770,79;1751,37;24135459615;;;2;8260297261098,88;RUB;4689729104,098600
SNDX;IMOEX;2015-12-29;Индекс МосБиржи;Индекс МосБиржи;1763,38;1728,23;1763,38;1727,05;22416969693;;;2;8269777179983,36;RUB;4689729104,098600
SNDX;IMOEX;2015-12-28;Индекс МосБиржи;Индекс МосБиржи;1731,2;1734,21;1736,19;1722,9;12979267170;;;2;8118850103502,34;RUB;4689729104,098600
SNDX;IMOEX;2015-12-25;Индекс МосБиржи;Индекс МосБиржи;1734,21;1743,77;1745,96;1728,27;10322254757;;;2;8132969588048,41;RUB;4689729104,098600
SNDX;IMOEX;2015-12-24;Индекс МосБиржи;Индекс МосБиржи;1742,71;1747,86;1757,5;1738,72;23442337367;;;2;8172847845164,05;RUB;4689729104,098600
SNDX;IMOEX;2015-12-23;Индекс МосБиржи;Индекс МосБиржи;1747,85;1718,65;1747,85;1718,65;27157609995;;;2;8196920883772,12;RUB;4689729104,098600
SNDX;IMOEX;2015-12-22;Индекс МосБиржи;Индекс МосБиржи;1723,35;1716,92;1729,08;1715;20336931490;;;2;8082026388372,36;RUB;4689729104,098600
SNDX;IMOEX;2015-12-21;Индекс МосБиржи;Индекс МосБиржи;1716,91;1719,44;1737,12;1710,32;27784033639;;;2;8051860996974,13;RUB;4689729104,098600
SNDX;IMOEX;2015-12-18;Индекс МосБиржи;Индекс МосБиржи;1719,16;1779,42;1779,42;1719,16;43830949583;;;2;8062384946107,81;RUB;4689729104,098600
SNDX;IMOEX;2015-12-17;Индекс МосБиржи;Индекс МосБиржи;1780,97;1754,74;1786,18;1754,74;41887265524;;;2;8352257087713,71;RUB;4689729104,098600
SNDX;IMOEX;2015-12-16;Индекс МосБиржи;Индекс МосБиржи;1754,71;1743,03;1759,09;1743,03;27528361110;;;2;8229136310922,7;RUB;4689729104,098600
SNDX;IMOEX;2015-12-15;Индекс МосБиржи;Индекс МосБиржи;1742,46;1708,89;1749,52;1708,89;35264056024;;;2;8072082962283,34;RUB;4632583221,618000
SNDX;IMOEX;2015-12-14;Индекс МосБиржи;Индекс МосБиржи;1708,7;1720,37;1721,48;1698,9;36354674094;;;2;7915696430206,57;RUB;4632583221,618000


